gene_id	module_id	wgcna_numeric_label	wgcna_color	assigned_kme
ENSRNOG00000000073	M004	4	yellow	0.67064316145376
ENSRNOG00000000281	M002	2	blue	0.901558638965522
ENSRNOG00000000585	M003	3	brown	0.476326477884941
ENSRNOG00000000658	M001	1	turquoise	0.69961450139729
ENSRNOG00000000814	M004	4	yellow	0.681000300068071
ENSRNOG00000000827	M002	2	blue	0.720201509280479
ENSRNOG00000001113	M002	2	blue	0.67695137691799
ENSRNOG00000001142	M007	7	black	0.709924126359876
ENSRNOG00000001214	grey	0	grey	
ENSRNOG00000001441	M004	4	yellow	0.873268410622558
ENSRNOG00000001442	M003	3	brown	0.755331894018255
ENSRNOG00000001514	M003	3	brown	0.57557528885701
ENSRNOG00000001770	M004	4	yellow	0.846057229712688
ENSRNOG00000001833	M003	3	brown	0.416280159312707
ENSRNOG00000001852	M004	4	yellow	0.891565716557849
ENSRNOG00000001979	M007	7	black	0.663983813002616
ENSRNOG00000001989	M002	2	blue	0.741172263214512
ENSRNOG00000002159	M003	3	brown	0.736302177192968
ENSRNOG00000002225	M004	4	yellow	0.930694033623928
ENSRNOG00000002342	M004	4	yellow	0.953014237046585
ENSRNOG00000002373	M005	5	green	0.79955659590007
ENSRNOG00000002425	M004	4	yellow	0.877378145163198
ENSRNOG00000002922	M002	2	blue	0.438817572043945
ENSRNOG00000003121	M006	6	red	0.723087412075575
ENSRNOG00000003134	M003	3	brown	0.889338067201716
ENSRNOG00000003150	M004	4	yellow	0.902492192153171
ENSRNOG00000003260	M005	5	green	0.630470917140818
ENSRNOG00000003330	grey	0	grey	
ENSRNOG00000003550	M003	3	brown	0.82399305167978
ENSRNOG00000003674	M001	1	turquoise	0.743608023230432
ENSRNOG00000003703	M003	3	brown	0.567883131064669
ENSRNOG00000003749	M001	1	turquoise	0.718852223685413
ENSRNOG00000003884	M002	2	blue	0.592276086920598
ENSRNOG00000003977	M002	2	blue	0.760041570163846
ENSRNOG00000004009	M002	2	blue	0.927274323949075
ENSRNOG00000004307	M003	3	brown	0.622673143665434
ENSRNOG00000004500	M003	3	brown	0.485279263454142
ENSRNOG00000004537	M003	3	brown	0.62683531611504
ENSRNOG00000004626	M003	3	brown	0.361553663003888
ENSRNOG00000004692	M002	2	blue	0.386774863170484
ENSRNOG00000004725	grey	0	grey	
ENSRNOG00000005109	M001	1	turquoise	0.696548531230567
ENSRNOG00000005250	M002	2	blue	0.718698903150833
ENSRNOG00000005358	M004	4	yellow	0.888553648222419
ENSRNOG00000005420	M002	2	blue	0.720724252689222
ENSRNOG00000005434	M001	1	turquoise	0.488258070188679
ENSRNOG00000005589	M001	1	turquoise	0.836697504617103
ENSRNOG00000005615	M005	5	green	0.868839238427722
ENSRNOG00000005705	M001	1	turquoise	0.870349431723123
ENSRNOG00000005849	M001	1	turquoise	0.959323262683222
ENSRNOG00000005905	M007	7	black	0.711799833110934
ENSRNOG00000006019	M005	5	green	0.868757615496751
ENSRNOG00000006118	M006	6	red	0.690302880693003
ENSRNOG00000006539	M003	3	brown	0.872023350450363
ENSRNOG00000006622	grey	0	grey	
ENSRNOG00000006779	M001	1	turquoise	0.882156441295831
ENSRNOG00000006893	M006	6	red	0.798747518666001
ENSRNOG00000006905	M004	4	yellow	0.613019020041235
ENSRNOG00000006983	M006	6	red	0.826813872657801
ENSRNOG00000007545	M006	6	red	0.839849720142316
ENSRNOG00000007546	M004	4	yellow	0.471412205837131
ENSRNOG00000007601	M002	2	blue	0.810160758479651
ENSRNOG00000007829	M004	4	yellow	0.705362878132509
ENSRNOG00000007862	M001	1	turquoise	0.954983361831439
ENSRNOG00000007866	M007	7	black	0.699787294668391
ENSRNOG00000007992	M004	4	yellow	0.883426706887589
ENSRNOG00000008050	M002	2	blue	0.887514093837695
ENSRNOG00000008064	M002	2	blue	0.641888070397365
ENSRNOG00000008067	M003	3	brown	0.451945553390601
ENSRNOG00000008167	M006	6	red	0.842157323706416
ENSRNOG00000008222	M004	4	yellow	0.828116523680925
ENSRNOG00000008236	M001	1	turquoise	0.911520691385243
ENSRNOG00000008572	M006	6	red	0.872110522240656
ENSRNOG00000008580	M006	6	red	0.857639898706773
ENSRNOG00000008694	M001	1	turquoise	0.926649861698798
