gene_id	gene_symbol	module_id
ENSRNOG00000032908	Acaa1a	M001
ENSRNOG00000013766	Acaa2	M001
ENSRNOG00000018114	Acadvl	M001
ENSRNOG00000007862	Acat1	M001
ENSRNOG00000015187	Acot8	M001
ENSRNOG00000008755	Acox1	M001
ENSRNOG00000014254	Cpt1a	M001
ENSRNOG00000031004	Cyp2j3	M001
ENSRNOG00000009597	Cyp4a1	M001
ENSRNOG00000008236	Decr1	M001
ENSRNOG00000020308	Ech1	M001
ENSRNOG00000024629	Hadha	M001
ENSRNOG00000010800	Hadhb	M001
ENSRNOG00000009422	Hmgcl	M001
ENSRNOG00000019120	Hmgcs2	M001
ENSRNOG00000009715	Me1	M001
ENSRNOG00000020288	Slc25a20	M001
ENSRNOG00000016219	Vnn1	M001
ENSRNOG00000014522	Mlycd	M003
ENSRNOG00000015003	Pex11a	M003
ENSRNOG00000010134	Acot2	M004
ENSRNOG00000012443	Cpt2	M004
ENSRNOG00000001770	Ehhadh	M004
ENSRNOG00000056457	Gpd1	M004
ENSRNOG00000014508	Mgll	M004
ENSRNOG00000017854	Ucp2	M004
ENSRNOG00000009565	Pdk4	M006

