gene_symbol	source
Acox1	Rakhshandehroo et al. 2010
Acox2	Rakhshandehroo et al. 2010
Acox3	Rakhshandehroo et al. 2010
Ehhadh	Rakhshandehroo et al. 2010
Acaa1a	Rakhshandehroo et al. 2010
Acaa1b	Rakhshandehroo et al. 2010
Acaa2	Rakhshandehroo et al. 2010
Hsd17b4	Rakhshandehroo et al. 2010
Decr1	Rakhshandehroo et al. 2010
Eci2	Rakhshandehroo et al. 2010
Ech1	Rakhshandehroo et al. 2010
Acadm	Rakhshandehroo et al. 2010
Acadl	Rakhshandehroo et al. 2010
Acadvl	Rakhshandehroo et al. 2010
Acads	Rakhshandehroo et al. 2010
Hadha	Rakhshandehroo et al. 2010
Hadhb	Rakhshandehroo et al. 2010
Cpt1a	Rakhshandehroo et al. 2010
Cpt2	Rakhshandehroo et al. 2010
Slc25a20	Rakhshandehroo et al. 2010
Cact	Rakhshandehroo et al. 2010
Hmgcs2	Rakhshandehroo et al. 2010
Hmgcl	Rakhshandehroo et al. 2010
Bdh1	Rakhshandehroo et al. 2010
Acat1	Rakhshandehroo et al. 2010
Cyp4a1	Rakhshandehroo et al. 2010
Cyp4a2	Rakhshandehroo et al. 2010
Cyp4a3	Rakhshandehroo et al. 2010
Cyp4a22	Rakhshandehroo et al. 2010
Cyp2j3	Rakhshandehroo et al. 2010
Acot1	Rakhshandehroo et al. 2010
Acot2	Rakhshandehroo et al. 2010
Acot3	Rakhshandehroo et al. 2010
Acot8	Rakhshandehroo et al. 2010
Mogat1	Rakhshandehroo et al. 2010
Mogat2	Rakhshandehroo et al. 2010
Mgll	Rakhshandehroo et al. 2010
Gyk	Rakhshandehroo et al. 2010
Gpd1	Rakhshandehroo et al. 2010
Apoa1	Rakhshandehroo et al. 2010
Apoa2	Rakhshandehroo et al. 2010
Apoc2	Rakhshandehroo et al. 2010
Apoc3	Rakhshandehroo et al. 2010
Lpl	Rakhshandehroo et al. 2010
Cd36	Rakhshandehroo et al. 2010
Fabp1	Rakhshandehroo et al. 2010
Fabp2	Rakhshandehroo et al. 2010
Fabp3	Rakhshandehroo et al. 2010
Pdk4	Rakhshandehroo et al. 2010
Ucp2	Rakhshandehroo et al. 2010
Ucp3	Rakhshandehroo et al. 2010
Vnn1	Rakhshandehroo et al. 2010
Plin2	Rakhshandehroo et al. 2010
Mlycd	Rakhshandehroo et al. 2010
Pex11a	Rakhshandehroo et al. 2010
Me1	Rakhshandehroo et al. 2010
G6pc	Rakhshandehroo et al. 2010
Pck1	Rakhshandehroo et al. 2010

